reunion_numero,reunion_tipo,sesion_numero,reunion_inicio,reunion_fin,sesion_camara,periodo_id
18,Minoría,,2010-08-23T14:36:00,2010-08-23T14:38:00,DIPUTADOS,HCDN128R18
17,Ordinaria,12,2010-08-16T14:33:00,2010-08-17T04:19:00,DIPUTADOS,HCDN128R17
16,Ordinaria,11,2010-08-09T14:24:00,2010-08-09T18:55:00,DIPUTADOS,HCDN128R16
15,Minoría,,2010-08-02T14:40:00,2010-08-02T14:49:00,DIPUTADOS,HCDN128R15
14,Ordinaria,10,2010-07-12T15:16:00,2010-07-13T03:24:00,DIPUTADOS,HCDN128R14
13,Ordinaria,9,2010-06-28T15:30:00,2010-06-29T02:21:00,DIPUTADOS,HCDN128R13
12,Ordinaria,8,2010-06-21T14:37:00,2010-06-21T21:49:00,DIPUTADOS,HCDN128R12
11,Ordinaria,7,2010-06-07T14:50:00,2010-06-07T20:10:00,DIPUTADOS,HCDN128R11
10,Especial Homenaje,6,2010-05-24T17:27:00,2010-05-24T22:07:00,DIPUTADOS,HCDN128R10
9,Ordinaria,5,2010-05-10T14:35:00,2010-05-10T15:50:00,DIPUTADOS,HCDN128R09
8,Especial cont.,4,2010-05-03T14:39:00,2010-05-03T19:05:00,DIPUTADOS,HCDN128R08
7,Especial,4,2010-05-02T14:25:00,2010-05-03T02:43:00,DIPUTADOS,HCDN128R07
6,Minoría,,2010-04-26T11:46:00,2010-04-26T11:50:00,DIPUTADOS,HCDN128R06
5,Especial,3,2010-04-19T10:56:00,2010-04-20T00:19:00,DIPUTADOS,HCDN128R05
4,Especial,2,2010-04-11T15:36:00,2010-04-12T03:15:00,DIPUTADOS,HCDN128R04
3,Minoría,,2010-04-05T17:15:00,2010-04-05T19:07:00,DIPUTADOS,HCDN128R03
2,Ordinaria,1,2010-03-15T15:47:00,2010-03-16T03:59:00,DIPUTADOS,HCDN128R02
1,Especial Minoría,,2010-03-08T15:30:00,2010-03-08T15:30:00,DIPUTADOS,HCDN128R01
1,Apertura Ordinarias,,2010-02-27T10:38:00,2010-02-27T12:47:00,ASAMBLEA,HCDN128A01
20,Preparatoria,,2009-12-01T18:25:00,2009-12-01T23:40:00,DIPUTADOS,HCDN127R20
19,Ordinaria,13,2009-11-23T13:31:00,2009-11-23T18:05:00,DIPUTADOS,HCDN127R19
18,Ordinaria,12,2009-11-16T13:22:00,2009-11-16T22:28:00,DIPUTADOS,HCDN127R18
17,Ordinaria,11,2009-11-09T14:43:00,2009-11-09T21:41:00,DIPUTADOS,HCDN127R17
16,Informativa,10,2009-11-09T11:21:00,2009-11-09T14:17:00,DIPUTADOS,HCDN127R16
15,Ordinaria,9,2009-11-02T13:19:00,2009-11-02T22:11:00,DIPUTADOS,HCDN127R15
14,Ordinaria,8,2009-10-26T15:52:00,2009-10-26T23:28:00,DIPUTADOS,HCDN127R14
